id,item,price,description,details,notes
478,Garlic Powder,69.12,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",scelerisque quam turpis,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
479,Cookies - Fortune,90.58,Phasellus sit amet erat.,eget eleifend luctus ultricies eu,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
480,"Water, Tap",30.75,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",placerat praesent blandit nam,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
481,Coffee - Almond Amaretto,23.46,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",odio justo sollicitudin ut,Sed ante. Vivamus tortor. Duis mattis egestas metus.
482,Olives - Kalamata,81.31,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",nisl nunc rhoncus,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
483,Wheat - Soft Kernal Of Wheat,91.15,In quis justo.,justo pellentesque viverra pede ac,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
484,Wine - Clavet Saint Emilion,60.26,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,in quam fringilla rhoncus,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
485,Soup - Campbells Chili Veg,24.5,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",sit amet consectetuer adipiscing,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
486,Rosemary - Fresh,26.62,Pellentesque ultrices mattis odio.,iaculis diam erat fermentum justo,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
487,"Tart Shells - Sweet, 4",93.28,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",cubilia curae nulla dapibus dolor,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
488,Muffin Mix - Oatmeal,1.27,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",sit amet consectetuer adipiscing elit,Phasellus in felis. Donec semper sapien a libero. Nam dui.
489,Food Colouring - Blue,26.2,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,ante vestibulum ante,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
490,Ecolab - Ster Bac,46.92,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",quis orci eget,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
491,Lemon Balm - Fresh,5.77,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",morbi non quam nec dui,Sed ante. Vivamus tortor. Duis mattis egestas metus.
492,Pork - Suckling Pig,41.64,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,tincidunt in leo maecenas pulvinar,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
493,"Turkey - Breast, Double",21.64,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,aenean fermentum donec,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
494,Cheese - St. Paulin,21.28,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,vestibulum ante ipsum primis in,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
495,Flour - Strong,58.86,Maecenas ut massa quis augue luctus tincidunt.,ut odio cras,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
496,Corn Kernels - Frozen,41.75,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,accumsan tellus nisi,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
497,Pastry - Trippleberry Muffin - Mini,37.2,In congue. Etiam justo.,eros vestibulum ac est lacinia,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
498,Tea - Green,82.41,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",metus sapien ut nunc vestibulum,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
499,Rice Paper,84.79,Etiam pretium iaculis justo.,risus dapibus augue vel accumsan,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
500,Longos - Chicken Caeser Salad,60.79,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",dictumst morbi vestibulum velit,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
501,Liqueur - Melon,31.63,Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,eget congue eget,Sed ante. Vivamus tortor. Duis mattis egestas metus.
502,Sour Puss - Tangerine,92.48,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",elementum pellentesque quisque porta volutpat,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
503,Poppy Seed,8.96,Cras pellentesque volutpat dui.,varius integer ac leo,In congue. Etiam justo. Etiam pretium iaculis justo.
504,Grand Marnier,89.1,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",vestibulum ante ipsum,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
505,"Cheese - Mozzarella, Shredded",20.86,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,id turpis integer,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
506,Kellogs All Bran Bars,99.7,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,in blandit ultrices enim,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
507,"Flour - Bran, Red",73.21,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",mattis nibh ligula nec sem,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
508,"Tart Shells - Sweet, 2",66.0,Phasellus in felis. Donec semper sapien a libero. Nam dui.,sed augue aliquam erat volutpat,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
509,Sausage - Breakfast,39.61,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",eu magna vulputate,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
510,"Juice - Pineapple, 48 Oz",2.14,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",nisl nunc nisl duis bibendum,Sed ante. Vivamus tortor. Duis mattis egestas metus.
511,Thyme - Fresh,11.02,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,dui vel nisl duis ac,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
512,Coffee Swiss Choc Almond,83.32,Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.,in congue etiam,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
513,"Wine - White, Riesling, Henry Of",16.56,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,ante ipsum primis,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
514,Bread - French Stick,19.8,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",nec nisi volutpat,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
515,Horseradish - Prepared,80.1,Maecenas pulvinar lobortis est.,nisi venenatis tristique,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
516,Steampan - Lid For Half Size,60.42,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",sed vestibulum sit amet,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
517,Clam Nectar,74.5,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",amet nunc viverra dapibus,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
518,Shrimp - 31/40,88.2,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",a suscipit nulla elit ac,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
519,"Lobster - Tail, 3 - 4 Oz",70.95,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.,sapien arcu sed augue aliquam,Sed ante. Vivamus tortor. Duis mattis egestas metus.
520,Truffle Cups - Brown,7.41,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",duis faucibus accumsan odio curabitur,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
521,"Soup - Campbells, Cream Of",1.26,Morbi quis tortor id nulla ultrices aliquet.,non mi integer,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
522,"Shrimp - 16/20, Peeled Deviened",42.83,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",vestibulum ante ipsum primis in,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
523,"Wine - Red, Lurton Merlot De",70.83,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",nibh fusce lacus purus,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
524,Bread Ww Cluster,31.2,Praesent lectus.,etiam pretium iaculis,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
525,Ostrich - Fan Fillet,65.21,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,nullam porttitor lacus,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
526,Plaintain,17.41,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,vel sem sed sagittis nam,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
527,Ice Cream - Strawberry,93.03,Curabitur at ipsum ac tellus semper interdum.,felis donec semper sapien a,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
528,Beef - Ox Tongue,30.17,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",eget tincidunt eget,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
529,Icecream - Dibs,95.45,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,maecenas tincidunt lacus at,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
530,Lamb Rack Frenched Australian,20.54,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",aliquet pulvinar sed,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
531,Cheese - Comte,73.2,Morbi a ipsum.,nisi nam ultrices libero,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
532,"Brocolinni - Gaylan, Chinese",69.13,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",ullamcorper augue a,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
533,"Wine - Niagara,vqa Reisling",59.73,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,elit proin interdum,Phasellus in felis. Donec semper sapien a libero. Nam dui.
534,Pickerel - Fillets,14.73,Nulla ut erat id mauris vulputate elementum. Nullam varius.,sollicitudin ut suscipit,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
535,Catfish - Fillets,1.33,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",maecenas tristique est et,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
536,Lemon Tarts,27.65,Cras pellentesque volutpat dui.,nisi nam ultrices libero non,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
537,Duck - Breast,6.62,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",cursus vestibulum proin eu,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
538,Creamers - 10%,37.17,Suspendisse potenti.,quam sapien varius ut,Fusce consequat. Nulla nisl. Nunc nisl.
539,Cornstarch,6.01,Maecenas pulvinar lobortis est.,tempus vivamus in felis,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
540,Capicola - Hot,99.52,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",erat quisque erat,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
541,Curry Paste - Madras,82.68,In hac habitasse platea dictumst.,et eros vestibulum,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
542,Longos - Greek Salad,99.14,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.",augue vestibulum ante ipsum primis,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
543,"Cheese - Cheddar, Mild",35.69,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",id nisl venenatis lacinia aenean,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
544,"Tea - Darjeeling, Azzura",74.85,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,volutpat convallis morbi odio,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
545,Smoked Tongue,98.04,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,velit nec nisi,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
546,Beef - Bresaola,61.63,Aenean sit amet justo. Morbi ut odio.,tincidunt eget tempus vel pede,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
547,Cheese - Cream Cheese,36.31,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",velit id pretium,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
548,Cheese - Goat With Herbs,74.99,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,ut erat curabitur gravida nisi,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
549,Salmon - Sockeye Raw,92.14,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",erat vestibulum sed magna,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
550,Muffin - Mix - Bran And Maple 15l,63.18,Fusce posuere felis sed lacus.,maecenas ut massa,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
551,Cheese - St. Paulin,58.96,Quisque ut erat. Curabitur gravida nisi at nibh.,id ligula suspendisse,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
552,Pork Loin Bine - In Frenched,90.05,Phasellus sit amet erat. Nulla tempus.,ut dolor morbi vel,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
553,Potatoes - Pei 10 Oz,3.66,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,orci pede venenatis non,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
554,Sauce - Rosee,64.94,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,platea dictumst maecenas ut,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
555,"Wine - White, Colubia Cresh",38.4,Morbi a ipsum.,hendrerit at vulputate vitae nisl,In congue. Etiam justo. Etiam pretium iaculis justo.
556,"Nut - Pecan, Pieces",7.6,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",hac habitasse platea,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
557,Flour Dark Rye,76.87,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,donec ut mauris,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
558,Olives - Nicoise,5.95,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",eget massa tempor convallis,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
559,"Jam - Raspberry,jar",25.42,Aenean lectus.,adipiscing elit proin risus praesent,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
560,Beer - Guiness,95.96,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,volutpat dui maecenas tristique,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
561,Ice Cream Bar - Oreo Cone,35.89,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,luctus ultricies eu,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
562,Cardamon Ground,41.31,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,nunc vestibulum ante ipsum,Fusce consequat. Nulla nisl. Nunc nisl.
563,Gingerale - Diet - Schweppes,59.5,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",fusce congue diam,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
564,Table Cloth 54x54 Colour,20.57,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",a suscipit nulla elit,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
565,Bandage - Finger Cots,79.63,Vivamus vel nulla eget eros elementum pellentesque.,vel accumsan tellus nisi,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
566,Crab - Imitation Flakes,17.46,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",lectus aliquam sit,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
567,Chips Potato Reg 43g,73.38,In sagittis dui vel nisl. Duis ac nibh.,id pretium iaculis,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
568,Appetizer - Seafood Assortment,78.67,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.,nunc proin at,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
569,Crab - Meat,16.46,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,felis eu sapien cursus vestibulum,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
570,Eel - Smoked,30.04,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",scelerisque quam turpis,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
571,Beer - Creemore,42.23,Morbi porttitor lorem id ligula.,sit amet diam in,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
572,"Marsala - Sperone, Fine, D.o.c.",66.57,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",odio consequat varius integer,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
573,Jolt Cola - Electric Blue,16.44,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,nibh in quis justo maecenas,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
574,"Crab - Claws, 26 - 30",85.47,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",enim leo rhoncus sed vestibulum,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
